# schema_version=growth_dislocation_universe.v2
# SPY holdings=As of 18-Aug-2026; source=https://www.ssga.com/library-content/products/fund-data/etfs/us/holdings-daily-us-en-spy.xlsx
# NDX retrieved_at=2026-08-20; source=https://www.nasdaq.com/products/global-indexes/nasdaq-100/companies
# IWM holdings=Aug 18, 2026; source=https://www.ishares.com/us/products/239710/ishares-russell-2000-etf/latest-holdings.csv
# classification=subindustry unavailable from official holdings; sector used as the explicit crowding fallback
# growth_theme=curated issuer-level optionality taxonomy; blank is not a negative sector judgment
symbol,provider_symbol,company,sector,subindustry,classification_level,sector_benchmark,memberships,growth_theme
AROW,AROW,ARROW FINANCIAL CORP,Financials,Financials,sector,XLF,IWM
ARQT,ARQT,ARCUTIS BIOTHERAPEUTICS,Health Care,Health Care,sector,XLV,IWM
ARR,ARR,ARMOUR RESIDENTIAL REIT,Financials,Financials,sector,XLF,IWM
ARRY,ARRY,ARRAY TECHNOLOGIES INC,Industrials,Industrials,sector,XLI,IWM
ARTV,ARTV,ARTIVA BIOTHERAPEUTICS INC,Health Care,Health Care,sector,XLV,IWM
ARVN,ARVN,ARVINAS INC,Health Care,Health Care,sector,XLV,IWM
ARX,ARX,ACCELERANT HOLDINGS CLASS A,Financials,Financials,sector,XLF,IWM
ASAN,ASAN,ASANA CLASS A,Information Technology,Information Technology,sector,IWM,IWM
ASB,ASB,ASSOCIATED BANCORP,Financials,Financials,sector,XLF,IWM
ASC,ASC,ARDMORE SHIPPING CORP,Energy,Energy,sector,XLE,IWM
ASH,ASH,ASHLAND,Materials,Materials,sector,XLB,IWM
ASIC,ASIC,ATEGRITY SPECIALTY INSURANCE COMPA,Financials,Financials,sector,XLF,IWM
ASIX,ASIX,ADVANSIX,Materials,Materials,sector,XLB,IWM
ASLE,ASLE,AERSALE CORP,Industrials,Industrials,sector,XLI,IWM
ASMB,ASMB,ASSEMBLY BIOSCIENCES INC,Health Care,Health Care,sector,XLV,IWM
ASML,ASML,ASML Holding N.V. New York Registry Shares,Unknown,Unknown,fallback,QQQ,NDX
ASO,ASO,ACADEMY SPORTS AND OUTDOORS,Consumer Discretionary,Consumer Discretionary,sector,XLY,IWM
ASPI,ASPI,ASP ISOTOPES INC,Materials,Materials,sector,XLB,IWM
ASPN,ASPN,ASPEN AEROGELS,Materials,Materials,sector,XLB,IWM
ASST,ASST,STRIVE INC CLASS A,Health Care,Health Care,sector,XLV,IWM
ASTE,ASTE,ASTEC INDUSTRIES,Industrials,Industrials,sector,XLI,IWM
ASTH,ASTH,ASTRANA HEALTH,Health Care,Health Care,sector,XLV,IWM
ASUR,ASUR,ASURE SOFTWARE INC,Industrials,Industrials,sector,XLI,IWM
ASYS,ASYS,AMTECH SYSTEMS INC,Information Technology,Information Technology,sector,IWM,IWM
ATAI,ATAI,ATAIBECKLEY INC,Health Care,Health Care,sector,XLV,IWM
ATEC,ATEC,ALPHATEC HOLDNGS INC,Health Care,Health Care,sector,XLV,IWM
ATEN,ATEN,A10 NETWORKS INC,Information Technology,Information Technology,sector,IWM,IWM
ATEX,ATEX,ANTERIX INC,Communication,Communication,sector,XLC,IWM
ATKR,ATKR,ATKORE INC,Industrials,Industrials,sector,XLI,IWM
ATLC,ATLC,ATLANTICUS HOLDINGS CORP,Financials,Financials,sector,XLF,IWM
ATLO,ATLO,AMES NATIONAL CORP,Financials,Financials,sector,XLF,IWM
ATMU,ATMU,ATMUS FILTRATION TECHNOLOGIES,Industrials,Industrials,sector,XLI,IWM
ATNI,ATNI,ATN INTERNATIONAL INC,Communication,Communication,sector,XLC,IWM
ATO,ATO,ATMOS ENERGY CORP,Utilities,Utilities,sector,XLU,SPY
ATOM,ATOM,ATOMERA INC,Information Technology,Information Technology,sector,IWM,IWM
ATRC,ATRC,ATRICURE INC,Health Care,Health Care,sector,XLV,IWM
ATRO,ATRO,ASTRONICS,Industrials,Industrials,sector,XLI,IWM
AUB,AUB,ATLANTIC UNION BANKSHARES,Financials,Financials,sector,XLF,IWM
AUPH,AUPH,AURINIA PHARMACEUTICALS,Health Care,Health Care,sector,XLV,IWM
AURA,AURA,AURA BIOSCIENCES,Health Care,Health Care,sector,XLV,IWM
AVA,AVA,AVISTA,Utilities,Utilities,sector,XLU,IWM
AVAH,AVAH,AVEANNA HEALTHCARE HOLDINGS INC,Health Care,Health Care,sector,XLV,IWM
AVBC,AVBC,AVIDIA BANCORP INC,Financials,Financials,sector,XLF,IWM
AVBH,AVBH,AVIDBANK HOLDINGS INC,Financials,Financials,sector,XLF,IWM
AVBP,AVBP,ARRIVENT BIOPHARMA,Health Care,Health Care,sector,XLV,IWM
AVEX,AVEX,AEVEX CORP CLASS A,Industrials,Industrials,sector,XLI,IWM
AVGO,AVGO,BROADCOM INC,Technology,Technology,sector,XLK,NDX|SPY
AVIR,AVIR,ATEA PHARMACEUTICALS,Health Care,Health Care,sector,XLV,IWM
